_id,category,id,title,description,duration,fullLength,publishedDate,numberOfPlays,isCatchUp,program
7033807,histoire,7033807,Tandem de Séverine Vidal & Irène Bonacina,"Une cour de récré, une petite chouette qui attend son ami. Il avait pourtant dit qu'il viendrait, qu'il serait là, rendez-vous à midi, et il n’y est pas.",334160,true,2015-08-27T08:27:00Z,114,false,La tête dans les histoires
7036954,histoire,7036954,Comme une princesse de Brigitte Minne & Merel Eyckerman,"Marie trouve qu'elle ne ressemble pas à une princesse mais son papa n'est pas de cet avis. Au cours d'une belle journée entre père et fille, il va lui montrer que toutes les filles sont des princesses…",382160,true,2015-08-28T08:23:00Z,184,false,La tête dans les histoires
7041694,histoire,7041694,Un traître à la patrie,"Lors de la Première Guerre mondiale, deux officiers de l'état-major suisse ont secrètement transmis à l'armée allemande des dépêches diplomatiques russes décryptées par le service des renseignements. Cette trahison, baptisée «l'affaire des colonels», fut découverte par l'homme chargé de décoder ces dépêches, le Lausannois André Langie. Un docu-fiction haletant.",3078360,true,2015-08-30T18:41:00Z,3075,false,Histoire vivante
7043026,histoire,7043026,Le loup qui voulait changer de couleur d'Orianne Lallemand & Eleonore Thuillier,"Ce matin, le loup est de très méchante humeur. Tout en noir, il ne se trouve pas beau du tout. C'est décidé, il va changer de couleur ! Mais ce n'est pas aussi facile qu'il le croit.",330880,true,2015-08-31T08:24:00Z,265,false,La tête dans les histoires
7045895,histoire,7045895,La petite casserole d'Anatole d'Isabelle Carrier,"Anatole traîne toujours derrière lui sa petite casserole. Elle lui est tombée dessus un jour… On ne sait pas très bien pourquoi. Depuis, elle se coince partout et l’empêche d’avancer. Un jour il en a assez. Il décide de se cacher, de disparaître. Ça lui parait plus simple. Mais heureusement les choses ne sont pas simples…",360560,true,2015-09-01T07:51:00Z,136,false,La tête dans les histoires
7048354,histoire,7048354,"Spaghettis: histoire de prix, du simple au quintuple!","Les pâtes occupent une place prépondérante dans nos assiettes! Chaque Suisse en consomme près de dix kilos par an, ce qui situe notre pays au troisième rang en la matière, juste derrière l’Italie et la Grèce. Et les pâtes, il s'en vend à tous les prix. Il peut être multiplié par 15 entre l'entrée et le haut de gamme. Comment expliquer ces différences? Et cela fait-il une différences dans l'assiette?",2331200,true,2015-09-01T18:14:00Z,12846,false,A Bon Entendeur
7052609,histoire,7052609,"C'est pas moi, c'est la baleine ! de Pauline Pinson & Magali Le Huche","Buc a une excuse toute trouvée pour ne pas se faire disputer quand il fait des bêtises: ""C’est pas moi, c’est la baleine!"". C’est imparable, pourtant, sa maman n’a pas l’air de le croire…",298000,true,2015-09-03T07:53:00Z,145,false,La tête dans les histoires
7056065,histoire,7056065,Comment bien laver son mammouth laineux de Michelle Robin & Kate Hindley,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",342800,true,2015-09-04T07:52:00Z,179,false,La tête dans les histoires
7056303,histoire,7056303,FR: le sentier Ritter permet de découvrir un pan surprenant de l’histoire industrielle fribourgeoise,Le sentier tient son nom de l’ingénieur Guillaume Ritter qui a construit le barrage de la Maigrauge.,180080,false,2015-09-04T10:45:00Z,189,false,12h45
7063063,histoire,7063063,Le Dessert de Tom Tirabosco,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",354680,true,2015-09-07T07:52:00Z,116,false,La tête dans les histoires
7066124,histoire,7066124,Le meilleur livre pour apprendre à dessiner une vache d'Hélène Rice & Ronan Badel,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",300120,true,2015-09-08T07:52:00Z,137,false,La tête dans les histoires
7068294,histoire,7068294,NE: l’écrin du théâtre populaire romand de la Chaux-de-Fonds fête ses 60 ans d’histoire,La salle a été entièrement rénovée et modernisée.,304040,false,2015-09-08T16:55:00Z,214,false,Couleurs locales
7072944,histoire,7072944,Jean-Michel contre vents et marées de Magali Le huche,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",325960,true,2015-09-10T07:53:00Z,82,false,La tête dans les histoires
7075893,histoire,7075893,Le bazar de Crabtree de Jon et Tucker Nichols,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",329400,true,2015-09-11T07:53:00Z,76,false,La tête dans les histoires
7082567,histoire,7082567,Le chat d'Elsa d'Alice Brière-Haquet & Magali Le Huche,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",275080,true,2015-09-14T07:53:00Z,197,false,La tête dans les histoires
7082649,science,7082649,"Débat : Valérie Chansigaud, historienne des sciences et de l'environnement et Bernard Crettaz, ethnologue et sociologue débattent sur le plateau de Faut pas croire.",,958080,false,2015-09-13T10:07:00Z,70,false,Faut pas croire
7085781,histoire,7085781,La Tarte aux fées de Michaël Escoffier & Kris Di Giacomo,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",294560,true,2015-09-15T08:25:00Z,167,false,La tête dans les histoires
7092679,histoire,7092679,Le chevalier de ventre-à-terre de Gilles Bachelet,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",315120,true,2015-09-17T08:25:00Z,82,false,La tête dans les histoires
7096295,histoire,7096295,La grosse faim de P'tit Bonhomme de Pierre Delyle & Cécile Hudrisier,"Une plongée dans les livres et l'univers des tout-petits en humour et en poésie. Dans chaque épisode un nouveau titre est à découvrir avec les classes enfantines du collège de Montoie. L'histoire est lue par un comédien, racontée et commentée par les enfants alors que certaines illustrations sont animées.",328880,true,2015-09-18T08:25:00Z,104,false,La tête dans les histoires
